ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Stream discharge (m^3/yr),Stream discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr)
portland_CampCreek_SimFire_Norse.202010.cl532.chn_cs140,Norse.202010.cl532.chncs140,portland_CampCreek_SimFire,510.45,12745923.0,2496.9973552747574,9926951.0,1944.7450288960722,40.1,78.55813497894015,142.9,279.9490645508865,181.7,355.9604270741503,0.993,229.8,0.45019100793417577
portland_DeerCreek_PrescFireS.202010.chn_cs140,cs140,portland_DeerCreek_PrescFireS.202010.chn,360.09,9101850.0,2527.6597517287346,7025272.0,1950.9767002693773,9.8,27.215418367630317,0.0,0.0,9.9,27.493126718320422,1.004,42.3,0.11747063234191452
portland_FivemileCreek_PrescFireS.202010.chn_cs140,cs140,portland_FivemileCreek_PrescFireS.202010.chn,181.89,3889100.0,2138.1604266314807,2819280.0,1549.9917532574634,8.8,48.380889548628296,0.5,2.748914178899335,9.3,51.12980372752763,1.001,22.4,0.1231513552146902
portland_CougarCreek_PrescFireS.202010.chn_cs140,cs140,portland_CougarCreek_PrescFireS.202010.chn,591.28,17777859.0,3006.6734880259773,12856833.0,2174.406879989176,38.8,65.62034907319713,2.0,3.3824922202678938,40.8,69.00284129346502,1.001,98.8,0.16709511568123395
portland_BearCreek_PrescFireS.202010.chn_cs140,cs140,portland_BearCreek_PrescFireS.202010.chn,423.55,11171296.0,2637.538897414709,8615370.0,2034.0857041671586,2.3,5.430291583048046,11.1,26.207059379057963,13.5,31.873450596151574,1.003,53.5,0.12631330421437847
portland_CampCreek_PrescFireS.202010.chn_cs140,cs140,portland_CampCreek_PrescFireS.202010.chn,510.45,12745923.0,2496.9973552747574,9625409.0,1885.6712704476442,10.9,21.353707512978744,2.7,5.289450484866294,13.5,26.447252424331474,1.001,60.0,0.11754334410813988
portland_DeerCreek_LowSevS.202010.chn_cs140,cs140,portland_DeerCreek_LowSevS.202010.chn,360.09,9101850.0,2527.6597517287346,7179458.0,1993.795440028882,22.3,61.92896220389348,0.0,0.0,21.7,60.26271209975285,0.975,55.1,0.153017301230248
portland_CougarCreek_LowSevS.202010.chn_cs140,cs140,portland_CougarCreek_LowSevS.202010.chn,591.28,17777859.0,3006.6734880259773,13051702.0,2207.364023812745,97.9,165.57299418211338,1.2,2.029495332160736,97.2,164.38912190501964,0.981,156.6,0.26484914084697603
portland_BearCreek_LowSevS.202010.chn_cs140,cs140,portland_BearCreek_LowSevS.202010.chn,423.55,11171296.0,2637.538897414709,8776104.0,2072.0349427458386,3.9,9.207885727777121,8.5,20.068468893873213,12.4,29.276354621650334,1.003,53.6,0.12654940384842403
portland_FivemileCreek_LowSevS.202010.chn_cs140,cs140,portland_FivemileCreek_LowSevS.202010.chn,181.89,3889100.0,2138.1604266314807,2903557.0,1596.3258013084833,14.9,81.91764253120019,2.5,13.744570894496675,17.5,96.21199626147673,1.004,31.1,0.17098246192753863
portland_CampCreek_LowSevS.202010.chn_cs140,cs140,portland_CampCreek_LowSevS.202010.chn,510.45,12745923.0,2496.9973552747574,9802190.0,1920.3036536389461,23.5,46.03780977568812,555.5,1088.2554608678618,214.2,419.6297384660594,0.37,261.8,0.5128807914585171
portland_DeerCreek_ModSevS.202010.chn_cs140,cs140,portland_DeerCreek_ModSevS.202010.chn,360.09,9101850.0,2527.6597517287346,7384669.0,2050.7842483823492,139.8,388.2362742647672,0.1,0.27770835069010524,128.8,357.6883556888556,0.921,162.9,0.4523869032741815
portland_CougarCreek_ModSevS.202010.chn_cs140,cs140,portland_CougarCreek_ModSevS.202010.chn,591.28,17777859.0,3006.6734880259773,13369082.0,2261.0407928561763,436.6,738.3980516844812,3.2,5.41198755242863,395.4,668.7187119469626,0.899,455.6,0.7705317277770262
portland_BearCreek_ModSevS.202010.chn_cs140,cs140,portland_BearCreek_ModSevS.202010.chn,423.55,11171296.0,2637.538897414709,9014621.0,2128.3487191594854,64.9,153.22866249557313,279.6,660.134576791406,199.8,471.72706882304334,0.58,241.6,0.5704167158540904
portland_FivemileCreek_ModSevS.202010.chn_cs140,cs140,portland_FivemileCreek_ModSevS.202010.chn,181.89,3889100.0,2138.1604266314807,3008605.0,1654.0793886414867,131.5,722.964429050525,84.3,463.4669305624279,213.6,1174.336137225796,0.99,227.6,1.2513057342349772
portland_CampCreek_ModSevS.202010.chn_cs140,cs140,portland_CampCreek_ModSevS.202010.chn,510.45,12745923.0,2496.9973552747574,10075029.0,1973.754334410814,149.5,292.8788324027819,2.8,5.485356058379861,125.8,246.44921148006662,0.826,174.5,0.3418552257811735
portland_DeerCreek_HighSevS.202010.chn_cs140,cs140,portland_DeerCreek_HighSevS.202010.chn,360.09,9101850.0,2527.6597517287346,7601065.0,2110.879224638285,890.1,2471.882029492627,1.0,2.777083506901053,585.6,1626.2601016412564,0.657,620.4,1.7229026076814131
portland_CougarCreek_HighSevS.202010.chn_cs140,cs140,portland_CougarCreek_HighSevS.202010.chn,591.28,17777859.0,3006.6734880259773,13673846.0,2312.583885807063,2532.3,4282.742524692193,120.8,204.30253010418076,1605.7,2715.633879042078,0.605,1666.8,2.818969016371262
portland_BearCreek_HighSevS.202010.chn_cs140,cs140,portland_BearCreek_HighSevS.202010.chn,423.55,11171296.0,2637.538897414709,9257720.0,2185.7443040963285,735.6,1736.7489080391924,309.1,729.7839688348483,1017.3,2401.841577145555,0.974,1059.9,2.5024200212489673
portland_FivemileCreek_HighSevS.202010.chn_cs140,cs140,portland_FivemileCreek_HighSevS.202010.chn,181.89,3889100.0,2138.1604266314807,3130673.0,1721.1902798394635,882.9,4854.032657100445,6.4,35.186101489911486,796.1,4376.821155643521,0.895,810.6,4.456539666831602
portland_CampCreek_HighSevS.202010.chn_cs140,cs140,portland_CampCreek_HighSevS.202010.chn,510.45,12745923.0,2496.9973552747574,10364532.0,2030.469585659712,1222.6,2395.1415417768635,4.0,7.836222940542658,861.8,1688.3142325399158,0.703,911.7,1.7860711137231855
