ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Stream discharge (m^3/yr),Stream discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr)
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,360.09,9101850.0,2527.6597517287346,6679755.0,1855.0237440639842,0.0,0.0,0.0,0.0,0.0,0.0,1.003,31.4,0.08720042211669306
portland_CougarCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_CougarCreek_CurCond.202010.cl532.chn,591.28,17777859.0,3006.6734880259773,12412040.0,2099.1814368826954,0.0,0.0,0.2,0.33824922202678936,0.3,0.507373833040184,1.006,57.4,0.09707752672168854
portland_BearCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_BearCreek_CurCond.202010.cl532.chn,423.55,11171296.0,2637.538897414709,8248564.0,1947.4829418014401,0.0,0.0,5.8,13.6937787746429,5.8,13.6937787746429,1.002,44.8,0.1057726360524141
portland_CampCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_CampCreek_CurCond.202010.cl532.chn,510.45,12745923.0,2496.9973552747574,9211162.0,1804.51797433637,0.0,0.0,1.3,2.546772455676364,1.3,2.546772455676364,1.002,46.3,0.09070428053678127
portland_FivemileCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_FivemileCreek_CurCond.202010.cl532.chn,181.89,3889100.0,2138.1604266314807,2620043.0,1440.4546704051902,0.0,0.0,0.1,0.549782835779867,0.1,0.549782835779867,1.002,12.5,0.06872285447248337
portland_FirCreek_CurCond.202010.cl532_gridmet.chn_cs150,gridmet.chncs150,portland_FirCreek_CurCond.202010.cl532,1343.92,39185191.0,2915.7383624025238,28569964.0,2125.8679088040954,12.8,9.524376450979224,74.9,55.73248407643312,87.9,65.4056789094589,1.002,210.2,0.15640811953092446
portland_DeerCreek_CurCond.202010.cl532_gridmet.chn_cs140,gridmet.chncs140,portland_DeerCreek_CurCond.202010.cl532,360.09,9791236.0,2719.1080007775836,6680985.0,1855.3653253353332,0.0,0.0,0.2,0.5554167013802105,0.2,0.5554167013802105,1.001,31.0,0.08608958871393263
portland_CougarCreek_CurCond.202010.cl532_gridmet.chn_cs140,gridmet.chncs140,portland_CougarCreek_CurCond.202010.cl532,591.28,13226852.0,2236.986199431741,8601623.0,1454.746143958869,0.0,0.0,2.5,4.228115275334867,2.6,4.397239886348261,1.003,42.7,0.07221620890271953
portland_BearCreek_CurCond.202010.cl532_gridmet.chn_cs140,gridmet.chncs140,portland_BearCreek_CurCond.202010.cl532,423.55,9166926.0,2164.3078739227954,6364312.0,1502.611734151812,0.0,0.0,7.7,18.179671821508677,7.6,17.943572187463108,0.991,37.7,0.08900956203517885
portland_FivemileCreek_CurCond.202010.cl532_gridmet.chn_cs140,gridmet.chncs140,portland_FivemileCreek_CurCond.202010.cl532,181.89,4032625.0,2217.0680081367864,2738405.0,1505.5280664137667,0.0,0.0,1.0,5.49782835779867,1.0,5.49782835779867,1.001,13.8,0.07587003133762164
portland_CampCreek_CurCond.202010.cl532_gridmet.chn_cs140,gridmet.chncs140,portland_CampCreek_CurCond.202010.cl532,510.45,14664998.0,2872.954843765305,10595500.0,2075.7175041629935,0.0,0.0,9.5,18.611029483788815,9.5,18.611029483788815,1.001,59.8,0.11715153296111275
portland_DeerCreek_CurCond.202010.cl532_future.chn_cs140,future.chncs140,portland_DeerCreek_CurCond.202010.cl532,360.09,13280150.0,3688.0085534172017,9935773.0,2759.2471326612795,0.9,2.4993751562109474,2.0,5.554167013802106,3.0,8.331250520703158,1.002,46.5,0.12913438307089894
portland_CougarCreek_CurCond.202010.cl532_future.chn_cs140,future.chncs140,portland_CougarCreek_CurCond.202010.cl532,591.28,20766076.0,3512.0545257745907,15991272.0,2704.5176566093896,0.4,0.6764984440535787,36.1,61.05398457583548,36.5,61.73048301988906,1.001,106.5,0.18011771072926533
portland_BearCreek_CurCond.202010.cl532_future.chn_cs140,future.chncs140,portland_BearCreek_CurCond.202010.cl532,423.55,14375363.0,3394.0179435721875,11743103.0,2772.5423208594025,0.7,1.6526974383189705,62.8,148.2705701806162,63.6,150.15936725298076,1.002,115.6,0.2729311769566757
portland_FivemileCreek_CurCond.202010.cl532_future.chn_cs140,future.chncs140,portland_FivemileCreek_CurCond.202010.cl532,181.89,4410712.0,2424.933751168289,3011686.0,1655.7732695585246,0.1,0.549782835779867,2.3,12.645005222936941,2.4,13.194788058716808,1.001,16.3,0.08961460223211833
portland_CampCreek_CurCond.202010.cl532_future.chn_cs140,future.chncs140,portland_CampCreek_CurCond.202010.cl532,510.45,12769311.0,2501.579194828093,8468238.0,1658.975022039377,0.0,0.0,7.2,14.105201292976785,7.2,14.105201292976785,1.001,47.6,0.09325105299245764
portland_DeerCreek_SimFire_Eagle.202010.cl532.chn_cs140,Eagle.202010.cl532.chncs140,portland_DeerCreek_SimFire,360.09,9101850.0,2527.6597517287346,7371741.0,2047.1940348246274,207.6,576.5225360326585,0.3,0.8331250520703158,187.8,521.5362825960177,0.903,221.8,0.6159571218306535
portland_CougarCreek_SimFire_Eagle.202010.cl532.chn_cs140,Eagle.202010.cl532.chncs140,portland_CougarCreek_SimFire,591.28,17777859.0,3006.6734880259773,13412501.0,2268.384014341767,609.4,1030.6453795156272,4.3,7.272358273575971,537.9,909.7212826410499,0.877,598.2,1.0117034230821271
portland_BearCreek_SimFire_Eagle.202010.cl532.chn_cs140,Eagle.202010.cl532.chncs140,portland_BearCreek_SimFire,423.55,11171296.0,2637.538897414709,9074774.0,2142.5508204462285,453.4,1070.4757407626018,344.1,812.4188407507968,637.3,1504.6629677724,0.799,679.2,1.6035887144374927
portland_FivemileCreek_SimFire_Eagle.202010.cl532.chn_cs140,Eagle.202010.cl532.chncs140,portland_FivemileCreek_SimFire,181.89,3889100.0,2138.1604266314807,2994284.0,1646.2059486502833,131.3,721.8648633789653,84.2,462.917147726648,213.3,1172.6867887184562,0.99,227.2,1.2491066028918578
portland_CampCreek_SimFire_Eagle.202010.cl532.chn_cs140,Eagle.202010.cl532.chncs140,portland_CampCreek_SimFire,510.45,12745923.0,2496.9973552747574,9949673.0,1949.1963953374473,149.0,291.899304535214,2.4,4.701733764325595,124.9,244.6860613184445,0.825,173.1,0.3391125477519835
portland_FivemileCreek_SimFire_Norse.202010.cl532.chn_cs140,Norse.202010.cl532.chncs140,portland_FivemileCreek_SimFire,181.89,3889100.0,2138.1604266314807,3002556.0,1650.7537522678545,131.3,721.8648633789653,84.2,462.917147726648,213.4,1173.2365715542362,0.99,227.3,1.2496563857276377
portland_DeerCreek_SimFire_Norse.202010.cl532.chn_cs140,Norse.202010.cl532.chncs140,portland_DeerCreek_SimFire,360.09,9101850.0,2527.6597517287346,7382921.0,2050.298814185343,139.8,388.2362742647672,0.1,0.27770835069010524,128.8,357.6883556888556,0.921,162.9,0.4523869032741815
portland_CougarCreek_SimFire_Norse.202010.cl532.chn_cs140,Norse.202010.cl532.chncs140,portland_CougarCreek_SimFire,591.28,17777859.0,3006.6734880259773,13361012.0,2259.6759572452984,458.2,774.9289676633745,5.7,9.640102827763497,418.2,707.2791232580165,0.901,478.3,0.8089230144770667
portland_BearCreek_SimFire_Norse.202010.cl532.chn_cs140,Norse.202010.cl532.chncs140,portland_BearCreek_SimFire,423.55,11171296.0,2637.538897414709,9011561.0,2127.626254279306,64.9,153.22866249557313,279.5,659.8984771573604,200.0,472.19926809113446,0.581,241.7,0.570652815488136
