ProjectName,Scenario,Watershed,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,0.031,0.261,0.217,0.279,0.212,0.105,0.461,0.434,0.045,0.031329893159934355,0.2608152145878597,0.21689840183858028,0.2792851704579314,0.21167131995569433,0.10474468782321,0.4609937113661244,0.43426160081066567,0.04469135749031718,0.0,0.0037621923781959994,47.76,1.49
portland_CougarCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_CougarCreek_CurCond.202010.cl532.chn,0.022,0.148,0.149,0.263,0.419,0.079,0.292,0.629,0.034,0.03838691141206556,0.20567347970664437,0.26477017092980404,0.3132791051324255,0.17789033281906066,0.12526804888636434,0.447158171504032,0.42757377960960385,0.05345502279502036,0.3,0.044160457963496894,35.98,1.13
portland_BearCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_BearCreek_CurCond.202010.cl532.chn,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,31.98,1.0
portland_CampCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_CampCreek_CurCond.202010.cl532.chn,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0.03744000295030467,0.20059998255721162,0.25919527935938247,0.3206738072812624,0.18209092785183895,0.12387691381597934,0.43845513392901575,0.4376679522550051,0.05285763631383815,1.3,0.00064186021972,32.0,1.0
portland_FivemileCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_FivemileCreek_CurCond.202010.cl532.chn,0.019,0.14,0.134,0.259,0.448,0.073,0.272,0.655,0.031,0.037440035505376,0.20060145948714803,0.2592008439060474,0.3206701330697401,0.18208752803168846,0.12387775674345629,0.43846061916827245,0.43766162408827136,0.05285799677227966,0.1,0.005987167347338999,33.38,1.04
portland_FirCreek_CurCond.202010.cl532_gridmet.chn_cs150,gridmet.chncs150,portland_FirCreek_CurCond.202010.cl532,0.02,0.142,0.139,0.262,0.437,0.075,0.279,0.646,0.032,0.031091589742653875,0.17781891660706384,0.21524929679977442,0.30633821311464476,0.26950198373586315,0.1068366744657561,0.3795097859460089,0.513653539588235,0.045576933662393286,87.9,12.840047823584255,34.35,1.07
portland_DeerCreek_CurCond.202010.cl532_gridmet.chn_cs140,gridmet.chncs140,portland_DeerCreek_CurCond.202010.cl532,0.022,0.158,0.152,0.266,0.402,0.08,0.306,0.614,0.034,0.03452285055243495,0.22934465083098732,0.23900774586658133,0.30091539044141363,0.1962093623085829,0.11474410858398357,0.449216962925627,0.4360389284903896,0.048959446413526286,0.2,0.048220625361324196,36.67,1.15
portland_CougarCreek_CurCond.202010.cl532_gridmet.chn_cs140,gridmet.chncs140,portland_CougarCreek_CurCond.202010.cl532,0.018,0.137,0.127,0.255,0.463,0.07,0.264,0.666,0.03,0.042776388055641976,0.2291914841429623,0.29059135857950225,0.279008212573009,0.1584325566488845,0.13171297776064483,0.4874849201697825,0.38080210206957266,0.05622263767609199,2.6,0.0150814330028365,32.19,1.01
portland_BearCreek_CurCond.202010.cl532_gridmet.chn_cs140,gridmet.chncs140,portland_BearCreek_CurCond.202010.cl532,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,31.98,1.0
portland_FivemileCreek_CurCond.202010.cl532_gridmet.chn_cs140,gridmet.chncs140,portland_FivemileCreek_CurCond.202010.cl532,0.019,0.138,0.129,0.257,0.458,0.071,0.266,0.662,0.031,0.03744043513940656,0.20060192451237593,0.2592017095609783,0.3206671733291512,0.18208875745808792,0.12387804601635895,0.4384614593822196,0.4376604946014214,0.05285812181511781,1.0,0.025614148499522503,32.59,1.02
