ProjectName,Scenario,Watershed,Climate,ClimStation,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Stream discharge (m^3/yr),Stream discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,CurCond,BlazedAlder,CLIGEN,BonnevilleDam,1799.35,53626069,2980.302276,43386295,2411.220441,0.5,0.277878123,262.5,145.8860144,256.7,142.6626282,0.976,435.4,0.241976269,0.1918,49.23506,27.36269208
portland_BlazedAlder_CurCond.202203.cl532_future.chn_cs50,CurCond,BlazedAlder,Future,BonnevilleDam,1799.35,60718861,3374.488621,46865702,2604.590658,45.9,25.50921166,365.4,203.073332,382.1,212.3544613,0.929,568.8,0.316114152,0.205,78.3305,43.53266457
portland_BlazedAlder_CurCond.202203.cl532_gridmet.chn_cs50,CurCond,BlazedAlder,Gridmet,BonnevilleDam,1799.35,55028455,3058.240754,40520194,2251.935088,12.5,6.946953066,272.9,151.6658793,273.7,152.1104843,0.959,439,0.243976992,0.1966,53.80942,29.90492122
portland_BlazedAlder_HighSevS.202203.chn_cs50,HighSevS,BlazedAlder,CLIGEN,BonnevilleDam,1799.35,53626069,2980.302276,46874802,2605.096396,20509.7,11398.39386,4945.4,2748.436936,16649.1,9252.841304,0.654,16837.9,9.357768083,0.422,7025.9202,3904.69903
portland_BlazedAlder_LowSevS.202203.chn_cs50,LowSevS,BlazedAlder,CLIGEN,BonnevilleDam,1799.35,53626069,2980.302276,45203869,2512.233251,103.4,57.46519577,280.1,155.6673243,360.5,200.3501264,0.94,545.6,0.303220607,0.2271,81.86955,45.49951371
portland_BlazedAlder_ModSevS.202203.chn_cs50,ModSevS,BlazedAlder,CLIGEN,BonnevilleDam,1799.35,53626069,2980.302276,46059190,2559.76825,1396.7,776.2247478,435.9,242.2541473,1479,821.9634868,0.807,1665.7,0.925723178,0.3449,510.1071,283.4952066
portland_BlazedAlder_PrescFireS.202203.chn_cs50,PrescFireS,BlazedAlder,CLIGEN,BonnevilleDam,1799.35,53626069,2980.302276,44449697,2470.319671,59.6,33.12307222,282.4,156.9455637,329.2,182.954956,0.963,510,0.283435685,0.2112,69.52704,38.6400867
portland_BlazedAlder_SimFire_Eagle.202203.cl532.chn_cs50,SimFire_Eagle,BlazedAlder,CLIGEN,BonnevilleDam,1799.35,53626069,2980.302276,46157659,2565.240726,7075.5,3932.253314,347.5,193.1252952,6360.8,3535.054325,0.857,6547.7,3.638925167,0.2976,1892.97408,1052.032167
portland_BlazedAlder_SimFire_Norse.202203.cl532.chn_cs50,SimFire_Norse,BlazedAlder,CLIGEN,BonnevilleDam,1799.35,53626069,2980.302276,46245555,2570.125601,5871.1,3262.900492,478.4,265.8737878,5758.7,3200.43349,0.907,5945.8,3.304415483,0.2744,1580.18728,878.1989496
portland_BRnearMultnoma_CurCond.202203.cl532.chn_cs200,CurCond,BullRunNearMultnomah,CLIGEN,BonnevilleDam,11876.69,327417291,2756.805903,277871408,2339.636784,25.7,2.163902569,718.7,60.51349324,647.3,54.50171723,0.87,1792.7,0.150942729,0.196,126.8708,10.68233658
portland_BRnearMultnoma_CurCond.202203.cl532_future.chn_cs200,CurCond,BullRunNearMultnomah,Future,BonnevilleDam,11876.69,422224806,3555.071371,366391586,3084.96379,1331.9,112.1440401,2528.7,212.912857,3064,257.9843374,0.794,4483.6,0.37751259,0.2339,716.6696,60.34253651
portland_BRnearMultnoma_CurCond.202203.cl532_gridmet.chn_cs200,CurCond,BullRunNearMultnomah,Gridmet,BonnevilleDam,11876.69,399597304,3364.5511,342722538,2885.673854,497.2,41.86351584,1856.6,156.3230159,1953,164.4397555,0.83,3307.3,0.278469843,0.2182,426.1446,35.88075465
portland_BRnearMultnoma_HighSevS.202203.chn_cs200,HighSevS,BullRunNearMultnomah,CLIGEN,BonnevilleDam,11876.69,327417291,2756.805903,303968541,2559.370843,323607.7,27247.29702,428375.1,36068.55951,47091.8,3965.060972,0.063,48317.8,4.068288387,0.6848,32248.46464,2715.273754
portland_BRnearMultnoma_LowSevS.202203.chn_cs200,LowSevS,BullRunNearMultnomah,CLIGEN,BonnevilleDam,11876.69,327417291,2756.805903,291931230,2458.018438,5819.6,490.0018439,16042.7,1350.771974,4256.3,358.3742608,0.195,5451.8,0.45903362,0.691,2941.1033,247.6366142
portland_BRnearMultnoma_ModSevS.202203.chn_cs200,ModSevS,BullRunNearMultnomah,CLIGEN,BonnevilleDam,11876.69,327417291,2756.805903,297930984,2508.535493,37616.9,3167.288192,19949.8,1679.744104,8904.6,749.7543507,0.155,10113,0.851499871,0.5812,5175.35352,435.7572287
portland_BRnearMultnoma_PrescFireS.202203.chn_cs200,PrescFireS,BullRunNearMultnomah,CLIGEN,BonnevilleDam,11876.69,327417291,2756.805903,287282644,2418.878021,2539.2,213.7969417,8582.4,722.62558,2941.3,247.6531761,0.264,4108.5,0.345929716,0.6361,1870.96093,157.5321853
portland_BRnearMultnoma_SimFire_Eagle.202203.cl532.chn_cs200,SimFire_Eagle,BullRunNearMultnomah,CLIGEN,BonnevilleDam,11876.69,327417291,2756.805903,298157441,2510.442228,84502.7,7115.004265,122256.3,10293.8024,14219.3,1197.24435,0.069,15428.7,1.299074069,0.6493,9232.59149,777.3707565
portland_BRnearMultnoma_SimFire_Norse.202203.cl532.chn_cs200,SimFire_Norse,BullRunNearMultnomah,CLIGEN,BonnevilleDam,11876.69,327417291,2756.805903,298012916,2509.225348,61808.1,5204.151999,57944.9,4878.876185,12107.5,1019.433866,0.101,13315.8,1.121170966,0.6379,7723.37425,650.296863
portland_NorthFork_CurCond.202203.cl532.chn_cs140,CurCond,NorthFork,CLIGEN,Headworks,2021.07,60608011,2998.808107,46401157,2295.870851,1,0.494787415,288,142.4987754,289.3,143.141999,1.001,501.8,0.248284325,0.1918,55.48774,27.45463542
portland_NorthFork_CurCond.202203.cl532_future.chn_cs140,CurCond,NorthFork,Future,Headworks,2021.07,87832692,4345.851059,66762565,3303.327693,48.6,24.04666835,901.9,446.2487692,950.8,470.4438738,1,1230.3,0.608736956,0.2006,190.73048,94.37104108
portland_NorthFork_CurCond.202203.cl532_gridmet.chn_cs140,CurCond,NorthFork,Gridmet,Headworks,2021.07,81526975,4033.852118,61056790,3021.013127,20.9,10.34105696,713.8,353.1792565,732,362.1843875,0.996,994.3,0.491967126,0.1967,143.9844,71.24166902
portland_NorthFork_HighSevS.202203.chn_cs140,HighSevS,NorthFork,CLIGEN,Headworks,2021.07,60608011,2998.808107,50504557,2498.901918,24667.6,12205.21803,42744.6,21149.49012,41129.4,20350.30949,0.61,41356.5,20.46267571,0.7977,32808.92238,16233.44188
portland_NorthFork_LowSevS.202203.chn_cs140,LowSevS,NorthFork,CLIGEN,Headworks,2021.07,60608011,2998.808107,48406264,2395.081021,400,197.9149658,5174.8,2560.425913,4233.9,2094.880435,0.759,4454.3,2.203931581,0.8805,3727.94895,1844.542223
portland_NorthFork_ModSevS.202203.chn_cs140,ModSevS,NorthFork,CLIGEN,Headworks,2021.07,60608011,2998.808107,49473814,2447.902052,2696,1333.94687,5558.8,2750.42428,6173,3054.32271,0.748,6396.5,3.164907697,0.7449,4598.2677,2275.164987
portland_NorthFork_PrescFireS.202203.chn_cs140,PrescFireS,NorthFork,CLIGEN,Headworks,2021.07,60608011,2998.808107,47830216,2366.578891,188.4,93.21794891,2765.7,1368.433553,619,306.2734096,0.21,835,0.413147491,0.383,237.077,117.3027159
portland_NorthFork_SimFire_Eagle.202203.cl532.chn_cs140,SimFire_Eagle,NorthFork,CLIGEN,Headworks,2021.07,60608011,2998.808107,49465334,2447.482472,7978.6,3947.710866,16974.8,8398.917405,16433.2,8130.940541,0.659,16656.6,8.24147605,0.811,13327.3252,6594.192779
portland_NorthFork_SimFire_Norse.202203.cl532.chn_cs140,SimFire_Norse,NorthFork,CLIGEN,Headworks,2021.07,60608011,2998.808107,49315241,2440.056059,2426.6,1200.65114,5040.2,2493.827527,5568.5,2755.223718,0.746,5791.6,2.86561079,0.7486,4168.5791,2062.560475
portland_SouthFork_CurCond.202203.cl532.chn_cs160,CurCond,SouthFork,CLIGEN,Headworks,3839.34,118247499,3079.891309,88732481,2311.13892,0.6,0.15627686,378.2,98.50651414,368.7,96.03213052,0.974,753.9,0.196361875,0.1918,70.71666,18.41896263
portland_SouthFork_CurCond.202203.cl532_future.chn_cs160,CurCond,SouthFork,Future,Headworks,3839.34,134541599,3504.289774,97514033,2539.864482,67.8,17.65928519,740.3,192.8195992,766,199.513458,0.948,1166.8,0.303906401,0.2008,153.8128,40.06230237
portland_SouthFork_CurCond.202203.cl532_gridmet.chn_cs160,CurCond,SouthFork,Gridmet,Headworks,3839.34,131303381,3419.946684,96535614,2514.38044,23.5,6.120843687,639.6,166.5911329,631,164.3511645,0.952,1033.1,0.269082707,0.196,123.676,32.21282825
portland_SouthFork_HighSevS.202203.chn_cs160,HighSevS,SouthFork,CLIGEN,Headworks,3839.34,118247499,3079.891309,96314764,2508.62815,92589.8,24116.07203,29338.9,7641.651951,53824.5,14019.20643,0.441,54236.6,14.12654258,0.615,33102.0675,8621.811952
portland_SouthFork_LowSevS.202203.chn_cs160,LowSevS,SouthFork,CLIGEN,Headworks,3839.34,118247499,3079.891309,92356260,2405.524387,942.6,245.5109472,412.5,107.4403413,1084.8,282.548563,0.801,1484.4,0.386628952,0.3176,344.53248,89.73742362
portland_SouthFork_ModSevS.202203.chn_cs160,ModSevS,SouthFork,CLIGEN,Headworks,3839.34,118247499,3079.891309,94501985,2461.412248,10096.2,2629.670725,608.8,158.5689207,6722.6,1750.978033,0.628,7128.7,1.856751421,0.4003,2691.05678,700.9165065
portland_SouthFork_PrescFireS.202203.chn_cs160,PrescFireS,SouthFork,CLIGEN,Headworks,3839.34,118247499,3079.891309,90831870,2365.819907,537.7,140.0501128,409.4,106.6329109,803.5,209.2807618,0.848,1194.4,0.311095136,0.2846,228.6761,59.56130481
portland_SouthFork_SimFire_Eagle.202203.cl532.chn_cs160,SimFire_Eagle,SouthFork,CLIGEN,Headworks,3839.34,118247499,3079.891309,94321238,2456.704486,25965.6,6763.037397,1917.4,499.4087525,9914,2582.214651,0.356,10319.2,2.687753624,0.4961,4918.3354,1281.036689
portland_SouthFork_SimFire_Norse.202203.cl532.chn_cs160,SimFire_Norse,SouthFork,CLIGEN,Headworks,3839.34,118247499,3079.891309,94307167,2456.33799,29140.3,7589.92431,1570.4,409.0286351,8321.1,2167.325634,0.271,8726.5,2.272916699,0.5048,4200.49128,1094.06598
portland_LittleSandy_CurCond.202203.cl532.chn_cs110,CurCond,Little Sandy,CLIGEN,Headworks,5737.17,166904057,2909.170497,113959835,1986.342308,1,0.174301964,954.6,166.388655,843.6,147.041137,0.883,1347.3,0.234837036,0.1918,161.80248,28.20249008
portland_LittleSandy_CurCond.202203.cl532_future.chn_cs110,CurCond,Little Sandy,Future,Headworks,5737.17,166983592,2910.556808,108801188,1896.426078,24,4.183247141,1262.2,220.0039392,1018.7,177.5614109,0.792,1485.6,0.258942998,0.197,200.6839,34.97959796
portland_LittleSandy_CurCond.202203.cl532_gridmet.chn_cs110,CurCond,Little Sandy,Gridmet,Headworks,5737.17,162976418,2840.710978,108025882,1882.912342,12.2,2.126483963,1131.1,197.1529517,932.4,162.5191514,0.815,1401.7,0.244319063,0.1954,182.19096,31.75624219
portland_LittleSandy_HighSevS.202203.chn_cs110,HighSevS,Little Sandy,CLIGEN,Headworks,5737.17,166904057,2909.170497,126410050,2203.352001,69114.5,12046.79311,5894.7,1027.457788,23386.7,4076.347746,0.312,23936.3,4.172144106,0.5942,13896.37714,2422.165831
portland_LittleSandy_LowSevS.202203.chn_cs110,LowSevS,Little Sandy,CLIGEN,Headworks,5737.17,166904057,2909.170497,120122148,2093.752634,942.3,164.2447409,1019.4,177.6834223,1439.8,250.9599681,0.734,1968.1,0.343043696,0.308,443.4584,77.29567016
