ProjectName,Scenario,Watershed,Climate,ClimStation,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Stream discharge (m^3/yr),Stream discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
portland_LittleSandy_ModSevS.202203.chn_cs110,ModSevS,Little Sandy,CLIGEN,Headworks,5737.17,166904057,2909.170497,123389738,2150.70737,6981.5,1216.889163,1129.8,196.9263592,4103.3,715.2132497,0.506,4642,0.809109718,0.4633,1901.05889,331.3582986
portland_LittleSandy_PrescFireS.202203.chn_cs110,PrescFireS,Little Sandy,CLIGEN,Headworks,5737.17,166904057,2909.170497,117760066,2052.581081,466.2,81.25957571,1024.2,178.5200717,1214.2,211.6374449,0.815,1729.4,0.301437817,0.2597,315.32774,54.96224445
portland_LittleSandy_SimFire_Eagle.202203.cl532.chn_cs110,SimFire_Eagle,Little Sandy,CLIGEN,Headworks,5737.17,166904057,2909.170497,122628258,2137.434624,9390.6,1636.800025,1242.7,216.6050509,4301.6,749.7773292,0.405,4837.5,0.843185752,0.4687,2016.15992,351.4206342
portland_LittleSandy_SimFire_Norse.202203.cl532.chn_cs110,SimFire_Norse,Little Sandy,CLIGEN,Headworks,5737.17,166904057,2909.170497,122998965,2143.89612,14486.2,2524.973114,3020.9,526.5488037,4724.9,823.5593507,0.27,5262.1,0.917194366,0.5201,2457.42049,428.3332183
portland_FirCreek_CurCond.202203.cl532.chn_cs150,CurCond,FirCreek,CLIGEN,Headworks,1343.92,43212951,3215.440726,31589820,2350.572951,0.2,0.148818382,51.2,38.0975058,51.5,38.32073338,1.002,183.3,0.136392047,0.1921,9.89315,7.361412882
portland_FirCreek_CurCond.202203.cl532_future.chn_cs150,CurCond,FirCreek,Future,Headworks,1343.92,39901824,2969.062444,28252550,2102.24939,5.1,3.794868742,113.8,84.67765938,119.4,88.84457408,1.004,235.8,0.175456872,0.1963,23.43822,17.44018989
portland_FirCreek_CurCond.202203.cl532_gridmet.chn_cs150,CurCond,FirCreek,Gridmet,Headworks,1343.92,39262374,2921.481487,28383174,2111.969016,1.9,1.413774629,85.7,63.76867671,88.1,65.55449729,1.005,206.5,0.153654979,0.1947,17.15307,12.76346062
portland_FirCreek_HighSevS.202203.chn_cs150,HighSevS,FirCreek,CLIGEN,Headworks,1343.92,43212951,3215.440726,34027671,2531.971472,49411.6,36766.77183,20827.9,15497.8719,49001.8,36461.84297,0.698,49140.8,36.56527174,0.56,27441.008,20418.63206
portland_FirCreek_LowSevS.202203.chn_cs150,LowSevS,FirCreek,CLIGEN,Headworks,1343.92,43212951,3215.440726,32730662,2435.462081,429.1,319.2898387,69.4,51.63997857,478,355.6759331,0.959,613.9,0.456798024,0.2782,132.9796,98.94904459
portland_FirCreek_ModSevS.202203.chn_cs150,ModSevS,FirCreek,CLIGEN,Headworks,1343.92,43212951,3215.440726,33421924,2486.898327,4378.7,3258.155247,2165.3,1611.182213,5649.5,4203.747247,0.863,5786.8,4.305911066,0.5275,2980.11125,2217.476673
portland_FirCreek_PrescFireS.202203.chn_cs150,PrescFireS,FirCreek,CLIGEN,Headworks,1343.92,43212951,3215.440726,32177534,2394.304274,240.3,178.805286,61.6,45.83606167,302.7,225.2366212,1.003,435.4,0.323977618,0.2536,76.76472,57.12000714
portland_FirCreek_SimFire_Eagle.202203.cl532.chn_cs150,SimFire_Eagle,FirCreek,CLIGEN,Headworks,1343.92,43212951,3215.440726,33504022,2493.007173,19383,14422.7335,7673,5709.417227,18294.8,13613.01268,0.676,18432.4,13.71539973,0.5646,10329.24408,7685.906959
portland_FirCreek_SimFire_Norse.202203.cl532.chn_cs150,SimFire_Norse,FirCreek,CLIGEN,Headworks,1343.92,43212951,3215.440726,33477665,2491.04597,8960.4,6667.361152,7407.8,5512.084053,10984.5,8173.477588,0.671,11121.8,8.275641407,0.5791,6361.12395,4733.260871
portland_CedarCreek_CurCond.202203.cl532.chn_cs150,CurCond,CedarCreek,CLIGEN,Headworks,1927.21,59234840,3073.605886,46674320,2421.859579,0.5,0.259442406,12.1,6.278506234,12.2,6.330394716,0.968,202.4,0.105022286,0.1976,2.41072,1.250885996
portland_CedarCreek_CurCond.202203.cl532_future.chn_cs150,CurCond,CedarCreek,Future,Headworks,1927.21,72242378,3748.547278,57653012,2991.527234,123.7,64.18605134,92.9,48.20439911,198.9,103.2061893,0.918,421,0.218450506,0.252,50.1228,26.00795969
portland_CedarCreek_CurCond.202203.cl532_gridmet.chn_cs150,CurCond,CedarCreek,Gridmet,Headworks,1927.21,68646141,3561.944002,55144197,2861.348634,38.6,20.02895377,61.7,32.01519295,86.6,44.93542479,0.863,302.6,0.157014544,0.2299,19.90934,10.33065416
portland_CedarCreek_HighSevS.202203.chn_cs150,HighSevS,CedarCreek,CLIGEN,Headworks,1927.21,59234840,3073.605886,50378125,2614.044396,41979.9,21782.73255,1263.4,655.5590724,6025.3,3126.436662,0.139,6227.9,3.231562725,0.6723,4050.80919,2101.903368
portland_CedarCreek_LowSevS.202203.chn_cs150,LowSevS,CedarCreek,CLIGEN,Headworks,1927.21,59234840,3073.605886,48395592,2511.173769,289.9,150.4247072,17.8,9.236149667,112.2,58.21887599,0.365,308.9,0.160283519,0.5099,57.21078,29.68580487
portland_CedarCreek_ModSevS.202203.chn_cs150,ModSevS,CedarCreek,CLIGEN,Headworks,1927.21,59234840,3073.605886,49494564,2568.197757,3519.9,1826.422652,502.1,260.5320645,849,440.533206,0.211,1048.9,0.54425828,0.5705,484.3545,251.324194
portland_CedarCreek_PrescFireS.202203.chn_cs150,PrescFireS,CedarCreek,CLIGEN,Headworks,1927.21,59234840,3073.605886,47543305,2466.949891,171.2,88.83307994,80.8,41.92589287,95.2,49.39783417,0.378,287.6,0.149231272,0.4163,39.63176,20.56431837
portland_CedarCreek_SimFire_Eagle.202203.cl532.chn_cs150,SimFire_Eagle,CedarCreek,CLIGEN,Headworks,1927.21,59234840,3073.605886,49495876,2568.265835,16325.1,8470.846457,874.7,453.8685457,2283.5,1184.87347,0.133,2483.2,1.288494767,0.6739,1538.85065,798.4862314
portland_CedarCreek_SimFire_Norse.202203.cl532.chn_cs150,SimFire_Norse,CedarCreek,CLIGEN,Headworks,1927.21,59234840,3073.605886,49588663,2573.080412,19526.8,10132.15996,1128.7,585.6652882,2572.7,1334.934958,0.125,2772.8,1.438763809,0.6807,1751.23689,908.6902258
portland_DeerCreek_CurCond.202203.cl532.chn_cs140,CurCond,DeerCreek,CLIGEN,Headworks,360.09,9101706,2527.619762,6661520,1849.959732,0,0,0,0,0,0,1.001,30.6,0.084978755,0.354,0,0
portland_DeerCreek_CurCond.202203.cl532_future.chn_cs140,CurCond,DeerCreek,Future,Headworks,360.09,13280150,3688.008553,9914578,2753.361104,0.8,2.221666806,3.7,10.27520898,4.4,12.21916743,1.002,45.6,0.126635008,0.2146,0.94424,2.622233331
portland_DeerCreek_CurCond.202203.cl532_gridmet.chn_cs140,CurCond,DeerCreek,Gridmet,Headworks,360.09,9798602,2721.1536,6645885,1845.617762,0.1,0.277708351,0.5,1.388541753,0.6,1.666250104,1.001,30,0.083312505,0.2083,0.12498,0.347079897
portland_DeerCreek_HighSevS.202203.chn_cs140,HighSevS,DeerCreek,CLIGEN,Headworks,360.09,9101706,2527.619762,7568908,2101.948957,946.5,2628.509539,0.3,0.833125052,825.6,2292.760143,0.872,859.8,2.387736399,0.4019,331.80864,921.4603016
portland_DeerCreek_LowSevS.202203.chn_cs140,LowSevS,DeerCreek,CLIGEN,Headworks,360.09,9101706,2527.619762,7157065,1987.576717,8.1,22.49437641,0,0,8.1,22.49437641,1.004,40.9,0.113582715,0.3676,2.97756,8.268932767
portland_DeerCreek_ModSevS.202203.chn_cs140,ModSevS,DeerCreek,CLIGEN,Headworks,360.09,9101706,2527.619762,7359813,2043.88153,82.1,227.9985559,0,0,82.7,229.664806,1.007,116.1,0.322419395,0.3485,28.82095,80.0381849
portland_DeerCreek_PrescFireS.202203.chn_cs140,PrescFireS,DeerCreek,CLIGEN,Headworks,360.09,9101706,2527.619762,7013830,1947.799161,5.4,14.99625094,0,0,5.4,14.99625094,1.006,37.2,0.103307506,0.3464,1.87056,5.194701325
portland_DeerCreek_SimFire_Eagle.202203.cl532.chn_cs140,SimFire_Eagle,DeerCreek,CLIGEN,Headworks,360.09,9101706,2527.619762,7345929,2040.025827,195.3,542.3644089,0.1,0.277708351,188.4,523.2025327,0.964,221.8,0.615957122,0.3292,62.02128,172.2382738
portland_DeerCreek_SimFire_Norse.202203.cl532.chn_cs140,SimFire_Norse,DeerCreek,CLIGEN,Headworks,360.09,9101706,2527.619762,7358052,2043.392485,82.1,227.9985559,0,0,82.7,229.664806,1.007,116.1,0.322419395,0.3485,28.82095,80.0381849
portland_CougarCreek_CurCond.202203.cl532.chn_cs140,CurCond,CougarCreek,CLIGEN,Headworks,591.28,17782808,3007.510486,12396717,2096.58994,0,0,0.6,1.014747666,0.6,1.014747666,1.004,56.9,0.096231904,0.1954,0.11724,0.198281694
portland_CougarCreek_CurCond.202203.cl532_future.chn_cs140,CurCond,CougarCreek,Future,Headworks,591.28,14653908,2478.33649,9652738,1632.515559,0.1,0.169124611,11.3,19.11108104,11.3,19.11108104,0.994,54.7,0.092511162,0.1934,2.18542,3.696083074
portland_CougarCreek_CurCond.202203.cl532_gridmet.chn_cs140,CurCond,CougarCreek,Gridmet,Headworks,591.28,13226620,2236.946963,8629026,1459.380666,0,0,4.5,7.610607496,4.4,7.441482885,0.988,44.1,0.074583953,0.1931,0.84964,1.436950345
portland_CougarCreek_HighSevS.202203.chn_cs140,HighSevS,CougarCreek,CLIGEN,Headworks,591.28,17782808,3007.510486,13638882,2306.670613,1431.4,2420.849682,88.2,149.1679069,1350.1,2283.351373,0.889,1410.5,2.385502638,0.5023,678.15523,1146.927395
portland_CougarCreek_LowSevS.202203.chn_cs140,LowSevS,CougarCreek,CLIGEN,Headworks,591.28,17782808,3007.510486,13026835,2203.158402,9.5,16.06683805,1.6,2.705993776,11.1,18.77283182,0.998,69.7,0.117879854,0.4613,5.12043,8.65990732
portland_CougarCreek_ModSevS.202203.chn_cs140,ModSevS,CougarCreek,CLIGEN,Headworks,591.28,17782808,3007.510486,13342586,2256.559667,95.1,160.8375051,3.6,6.088485996,97,164.0508727,0.983,156.4,0.264510892,0.4674,45.3378,76.67737789
portland_CougarCreek_PrescFireS.202203.chn_cs140,PrescFireS,CougarCreek,CLIGEN,Headworks,591.28,17782808,3007.510486,12839811,2171.528041,6.8,11.50047355,2.4,4.058990664,9.2,15.55946421,0.998,66.4,0.112298742,0.4129,3.79868,6.424502774
portland_CougarCreek_SimFire_Eagle.202203.cl532.chn_cs140,SimFire_Eagle,CougarCreek,CLIGEN,Headworks,591.28,17782808,3007.510486,13383213,2263.430693,343.6,581.1121634,6.7,11.33134894,317.8,537.4780138,0.907,377.3,0.638107157,0.5408,171.86624,290.6681099
portland_CougarCreek_SimFire_Norse.202203.cl532.chn_cs140,SimFire_Norse,CougarCreek,CLIGEN,Headworks,591.28,17782808,3007.510486,13334393,2255.174029,115.4,195.1698011,3.5,5.919361385,117.2,198.2140441,0.986,176.6,0.298674063,0.4834,56.65448,95.81666892
portland_BearCreek_CurCond.202203.cl532.chn_cs140,CurCond,BearCreek,CLIGEN,Headworks,423.55,11169462,2637.105891,8228424,1942.727895,0,0,7.4,17.47137292,7.5,17.70747255,1.002,45.6,0.107661433,0.1918,1.4385,3.396293236
portland_BearCreek_CurCond.202203.cl532_future.chn_cs140,CurCond,BearCreek,Future,Headworks,423.55,14375363,3394.017944,11717285,2766.446701,2.1,4.958092315,77.1,182.0328178,79.4,187.4631094,1.002,128.9,0.304332428,0.1987,15.77678,37.24891984
portland_BearCreek_CurCond.202203.cl532_gridmet.chn_cs140,CurCond,BearCreek,Gridmet,Headworks,423.55,9166576,2164.225239,6372553,1504.557431,0,0,12.2,28.80415535,12.2,28.80415535,1.001,41.7,0.098453547,0.1918,2.33996,5.524636997
portland_BearCreek_HighSevS.202203.chn_cs140,HighSevS,BearCreek,CLIGEN,Headworks,423.55,11169462,2637.105891,9223789,2177.733207,1369.8,3234.092787,650.9,1536.772518,2004.8,4733.325463,0.992,2046.7,4.83225121,0.5689,1140.53072,2692.788856
portland_BearCreek_LowSevS.202203.chn_cs140,LowSevS,BearCreek,CLIGEN,Headworks,423.55,11169462,2637.105891,8751787,2066.293708,6.2,14.63817731,18.8,44.3867312,25.1,59.26100815,1.002,65.4,0.154409161,0.5216,13.09216,30.91054185
portland_BearCreek_ModSevS.202203.chn_cs140,ModSevS,BearCreek,CLIGEN,Headworks,423.55,11169462,2637.105891,8988637,2122.213906,87.4,206.3510802,335.1,791.1698737,257.6,608.1926573,0.61,298.6,0.704993507,0.7323,188.64048,445.3794829
portland_BearCreek_PrescFireS.202203.chn_cs140,PrescFireS,BearCreek,CLIGEN,Headworks,423.55,11169462,2637.105891,8596523,2029.635934,3.7,8.73568646,12.4,29.27635462,16.2,38.24814072,1.002,55.5,0.131035297,0.2185,3.5397,8.357218746
portland_BearCreek_SimFire_Eagle.202203.cl532.chn_cs140,SimFire_Eagle,BearCreek,CLIGEN,Headworks,423.55,11169462,2637.105891,9045813,2135.713139,356.3,841.2229961,432.9,1022.075316,589.8,1392.515642,0.747,631,1.489788691,0.6919,408.08262,963.4815724
portland_BearCreek_SimFire_Norse.202203.cl532.chn_cs140,SimFire_Norse,BearCreek,CLIGEN,Headworks,423.55,11169462,2637.105891,8985553,2121.485775,87.1,205.6427813,334.5,789.7532759,256.7,606.0677606,0.609,297.7,0.702868611,0.7323,187.98141,443.8234211
portland_CampCreek_CurCond.202203.cl532.chn_cs140,CurCond,CampCreek,CLIGEN,Headworks,510.45,12747337,2497.274366,9183659,1799.129983,0,0,1.7,3.33039475,1.7,3.33039475,1.002,45.9,0.089920658,0.1918,0.32606,0.638769713
portland_CampCreek_CurCond.202203.cl532_future.chn_cs140,CurCond,CampCreek,Future,Headworks,510.45,12769311,2501.579195,8427104,1650.916642,0,0,11,21.54961309,11.1,21.74551866,1.001,50.1,0.098148692,0.1918,2.12898,4.170790479
portland_CampCreek_CurCond.202203.cl532_gridmet.chn_cs140,CurCond,CampCreek,Gridmet,Headworks,510.45,14672879,2874.498776,10604103,2077.40288,0,0,14.6,28.60221373,14.6,28.60221373,1,63.4,0.124204134,0.1918,2.80028,5.485904594
portland_CampCreek_HighSevS.202203.chn_cs140,HighSevS,CampCreek,CLIGEN,Headworks,510.45,12747337,2497.274366,10323910,2022.511509,1070.7,2097.560976,4,7.836222941,826.6,1619.355471,0.769,875.7,1.715545107,0.3768,311.46288,610.1731413
portland_CampCreek_LowSevS.202203.chn_cs140,LowSevS,CampCreek,CLIGEN,Headworks,510.45,12747337,2497.274366,9771111,1914.215104,8.5,16.65197375,2.4,4.701733764,10.9,21.35370751,0.999,57.8,0.113233421,0.2984,3.25256,6.371946322
