ProjectName,Watershed,Scenario,Climate,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,0.018,0.136,0.126,0.255,0.464,0.07,0.262,0.668,0.03,0.036400009,0.18099946,0.252000836,0.329727388,0.200872308,0.122215196,0.414119768,0.463665036,0.052144229,256.7,0.459817309,32.03,1
portland_BlazedAlder_CurCond.202203.cl532_future.chn_cs50,BlazedAlder,CurCond,Future,0.02,0.143,0.14,0.262,0.434,0.076,0.281,0.644,0.032,0.036447078,0.195720561,0.252325849,0.320952645,0.194553867,0.121462144,0.428184731,0.450353125,0.051825134,382.1,45.89527045,34.56,1.08
portland_BlazedAlder_CurCond.202203.cl532_gridmet.chn_cs50,BlazedAlder,CurCond,gridMET,0.019,0.138,0.132,0.258,0.452,0.072,0.269,0.658,0.031,0.036392369,0.18959652,0.251947163,0.324049675,0.198014272,0.121634138,0.422083998,0.456281864,0.051897657,273.7,12.53944057,33.04,1.03
portland_BlazedAlder_HighSevS.202203.chn_cs50,BlazedAlder,HighSevS,CLIGEN,0.167,0.192,0.21,0.22,0.211,0.233,0.381,0.386,0.1,0.031276572,0.173765007,0.214942338,0.305904877,0.274111206,0.106913988,0.375168619,0.517917393,0.045610465,16649.1,20054.16676,101.45,3.17
portland_BlazedAlder_LowSevS.202203.chn_cs50,BlazedAlder,LowSevS,CLIGEN,0.023,0.157,0.157,0.261,0.402,0.082,0.308,0.61,0.035,0.034159965,0.192998016,0.231192839,0.306832218,0.234816963,0.113318043,0.407319717,0.47936224,0.048348933,360.5,102.8039954,37.45,1.17
portland_BlazedAlder_ModSevS.202203.chn_cs50,BlazedAlder,ModSevS,CLIGEN,0.1,0.184,0.203,0.245,0.269,0.167,0.369,0.464,0.072,0.031218558,0.173780063,0.2157603,0.305987335,0.273253744,0.107036728,0.375837622,0.51712565,0.045662657,1479,1389.801843,74.04,2.31
portland_BlazedAlder_PrescFireS.202203.chn_cs50,BlazedAlder,PrescFireS,CLIGEN,0.021,0.147,0.144,0.261,0.427,0.077,0.288,0.635,0.033,0.032056499,0.179512244,0.221900537,0.307961272,0.258569448,0.109365678,0.38661974,0.504014582,0.04665766,329.2,59.58878932,35.14,1.1
portland_BlazedAlder_SimFire_Eagle.202203.cl532.chn_cs50,BlazedAlder,SimFire_Eagle,CLIGEN,0.038,0.19,0.232,0.295,0.246,0.116,0.403,0.481,0.05,0.032179032,0.177828282,0.222765715,0.308813081,0.25841389,0.109755093,0.385706992,0.504537916,0.046823868,6360.8,7034.141929,52.52,1.64
portland_BlazedAlder_SimFire_Norse.202203.cl532.chn_cs50,BlazedAlder,SimFire_Norse,CLIGEN,0.052,0.163,0.198,0.286,0.3,0.122,0.349,0.528,0.052,0.028733535,0.15914452,0.198832964,0.302361664,0.310927317,0.100621095,0.347469341,0.551909564,0.042920843,5758.7,5862.44886,54.92,1.72
portland_BRnearMultnoma_CurCond.202203.cl532.chn_cs200,BullRunNearMultnomah,CurCond,CLIGEN,0.019,0.138,0.13,0.256,0.457,0.072,0.267,0.661,0.031,0.036347318,0.181722818,0.251574299,0.328666213,0.201689352,0.12196745,0.414396227,0.463636323,0.052038667,647.3,25.63088937,32.74,1.02
portland_BRnearMultnoma_CurCond.202203.cl532_future.chn_cs200,BullRunNearMultnomah,CurCond,Future,0.025,0.157,0.173,0.274,0.371,0.089,0.322,0.59,0.038,0.036565753,0.190819183,0.253013793,0.323937649,0.195663622,0.122021491,0.424136581,0.453841928,0.052063331,3064,1322.194911,40.32,1.26
portland_BRnearMultnoma_CurCond.202203.cl532_gridmet.chn_cs200,BullRunNearMultnomah,CurCond,gridMET,0.023,0.149,0.154,0.265,0.409,0.081,0.298,0.62,0.035,0.0364465,0.191455178,0.2521763,0.322939508,0.196982514,0.12162671,0.424007987,0.454365302,0.051894875,1953,493.534466,37.04,1.16
portland_BRnearMultnoma_HighSevS.202203.chn_cs200,BullRunNearMultnomah,HighSevS,CLIGEN,0.182,0.396,0.356,0.045,0.02,0.262,0.682,0.056,0.112,0.032947714,0.205248902,0.226722533,0.298209652,0.2368712,0.110308924,0.415146784,0.474544292,0.047064402,47091.8,309136.8823,114.29,3.57
portland_BRnearMultnoma_LowSevS.202203.chn_cs200,BullRunNearMultnomah,LowSevS,CLIGEN,0.497,0.146,0.16,0.099,0.097,0.541,0.283,0.176,0.232,0.033847878,0.184360965,0.23157304,0.311329871,0.238888245,0.113531446,0.399450401,0.487018153,0.048438168,4256.3,5760.174724,222.77,6.97
portland_BRnearMultnoma_ModSevS.202203.chn_cs200,BullRunNearMultnomah,ModSevS,CLIGEN,0.177,0.304,0.334,0.113,0.071,0.258,0.58,0.161,0.111,0.031917736,0.187609223,0.220120229,0.300929818,0.259422994,0.108155156,0.392580785,0.499264059,0.046142582,8904.6,37125.26128,112.65,3.52
portland_BRnearMultnoma_PrescFireS.202203.chn_cs200,BullRunNearMultnomah,PrescFireS,CLIGEN,0.466,0.129,0.137,0.127,0.141,0.508,0.25,0.242,0.218,0.032909539,0.184169081,0.227299328,0.308239115,0.247382937,0.111385369,0.395565119,0.493049512,0.047521174,2941.3,2520.436545,209.96,6.56
portland_BRnearMultnoma_SimFire_Eagle.202203.cl532.chn_cs200,BullRunNearMultnomah,SimFire_Eagle,CLIGEN,0.176,0.371,0.341,0.072,0.04,0.255,0.647,0.098,0.109,0.032644523,0.211505272,0.224304668,0.289959426,0.241586111,0.108678791,0.418637436,0.472683774,0.046370216,14219.3,82331.95553,111.32,3.48
portland_BRnearMultnoma_SimFire_Norse.202203.cl532.chn_cs200,BullRunNearMultnomah,SimFire_Norse,CLIGEN,0.23,0.311,0.323,0.087,0.05,0.306,0.575,0.119,0.131,0.031619525,0.189595908,0.217827195,0.298287576,0.262669796,0.107111533,0.392483473,0.500404994,0.045697302,12107.5,60785.49122,132.05,4.13
portland_NorthFork_CurCond.202203.cl532.chn_cs140,NorthFork,CurCond,CLIGEN,0.018,0.136,0.126,0.255,0.464,0.07,0.263,0.667,0.03,0.033792309,0.221703251,0.231143885,0.298620829,0.214739725,0.112127131,0.435132343,0.452740526,0.047841925,289.3,1.030726862,32.05,1
portland_NorthFork_CurCond.202203.cl532_future.chn_cs140,NorthFork,CurCond,Future,0.019,0.142,0.132,0.257,0.45,0.072,0.273,0.655,0.031,0.035608077,0.253151161,0.246222295,0.28858563,0.176432837,0.116130958,0.477433457,0.406435584,0.049556468,950.8,48.6464983,33.05,1.03
portland_NorthFork_CurCond.202203.cl532_gridmet.chn_cs140,NorthFork,CurCond,gridMET,0.019,0.139,0.129,0.256,0.457,0.071,0.268,0.661,0.031,0.035668877,0.238440877,0.246477738,0.296444706,0.182967803,0.117023705,0.463742061,0.419234234,0.049935622,732,20.85475465,32.58,1.02
portland_NorthFork_HighSevS.202203.chn_cs140,NorthFork,HighSevS,CLIGEN,0.587,0.172,0.129,0.071,0.04,0.621,0.281,0.097,0.266,0.036442886,0.306554322,0.252281479,0.258114722,0.146606591,0.115227635,0.53244834,0.352324024,0.049180149,41129.4,24666.73295,253,7.91
portland_NorthFork_LowSevS.202203.chn_cs140,NorthFork,LowSevS,CLIGEN,0.817,0.053,0.035,0.044,0.051,0.828,0.085,0.086,0.355,0.035168416,0.264455139,0.237425513,0.27674324,0.186207692,0.11266278,0.480565166,0.406772055,0.048078763,4233.9,399.9742485,327.77,10.25
portland_NorthFork_ModSevS.202203.chn_cs140,NorthFork,ModSevS,CLIGEN,0.55,0.161,0.113,0.1,0.075,0.584,0.261,0.155,0.25,0.035780042,0.297403691,0.247698204,0.261867945,0.157250118,0.113969289,0.520071841,0.36595887,0.04864093,6173,2696.056988,238.87,7.47
portland_NorthFork_PrescFireS.202203.chn_cs140,NorthFork,PrescFireS,CLIGEN,0.181,0.16,0.14,0.218,0.3,0.232,0.294,0.474,0.099,0.034451567,0.266615953,0.238485627,0.276334564,0.184112289,0.112129156,0.483519907,0.404350937,0.047849481,619,188.4078551,100.8,3.15
portland_NorthFork_SimFire_Eagle.202203.cl532.chn_cs140,NorthFork,SimFire_Eagle,CLIGEN,0.614,0.164,0.11,0.071,0.042,0.644,0.258,0.098,0.276,0.037513841,0.35354386,0.259684546,0.23437595,0.114881803,0.115510499,0.582810066,0.301679435,0.049308837,16433.2,7978.461507,261.18,8.17
portland_NorthFork_SimFire_Norse.202203.cl532.chn_cs140,NorthFork,SimFire_Norse,CLIGEN,0.551,0.164,0.112,0.098,0.076,0.584,0.262,0.154,0.25,0.035700097,0.306666194,0.246966816,0.256299177,0.154367716,0.113183713,0.528178126,0.35863816,0.04830692,5568.5,2426.554102,238.99,7.47
portland_SouthFork_CurCond.202203.cl532.chn_cs160,SouthFork,CurCond,CLIGEN,0.018,0.136,0.126,0.255,0.464,0.07,0.262,0.668,0.03,0.03204614,0.221611696,0.221855227,0.296793729,0.227693208,0.108240172,0.427522017,0.46423781,0.046180101,368.7,0.553444712,32.01,1
portland_SouthFork_CurCond.202203.cl532_future.chn_cs160,SouthFork,CurCond,Future,0.02,0.14,0.136,0.26,0.444,0.074,0.274,0.652,0.032,0.035660131,0.187964498,0.246877621,0.324067366,0.205430383,0.119833979,0.416453947,0.463712074,0.051128012,766,67.84874756,33.75,1.06
portland_SouthFork_CurCond.202203.cl532_gridmet.chn_cs160,SouthFork,CurCond,gridMET,0.019,0.138,0.13,0.257,0.457,0.071,0.267,0.662,0.031,0.035263289,0.191426444,0.244129976,0.321233111,0.20794718,0.118576792,0.417453239,0.463969969,0.050591439,631,23.46989576,32.63,1.02
