ProjectName,Watershed,Scenario,Climate,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
portland_SouthFork_HighSevS.202203.chn_cs160,SouthFork,HighSevS,CLIGEN,0.305,0.256,0.18,0.138,0.121,0.356,0.413,0.231,0.153,0.032570735,0.219422147,0.225311178,0.29630364,0.226392301,0.109445454,0.428008245,0.462546301,0.046695604,53824.5,90560.04239,151.53,4.74
portland_SouthFork_LowSevS.202203.chn_cs160,SouthFork,LowSevS,CLIGEN,0.031,0.229,0.192,0.243,0.305,0.095,0.406,0.498,0.041,0.031293049,0.229530318,0.215610574,0.289347151,0.234218909,0.105432248,0.429739164,0.464828588,0.04498225,1084.8,942.1014893,43.59,1.36
portland_SouthFork_ModSevS.202203.chn_cs160,SouthFork,ModSevS,CLIGEN,0.038,0.296,0.221,0.228,0.217,0.107,0.494,0.399,0.046,0.031220109,0.225331685,0.216136272,0.291755559,0.235556375,0.105708663,0.426205782,0.468085555,0.045099425,6722.6,10084.78836,49.07,1.53
portland_SouthFork_PrescFireS.202203.chn_cs160,SouthFork,PrescFireS,CLIGEN,0.028,0.202,0.182,0.25,0.337,0.091,0.372,0.537,0.039,0.031317904,0.228642808,0.216816098,0.290273401,0.232949789,0.105803167,0.429899143,0.46429769,0.045140312,803.5,537.6419913,41.63,1.3
portland_SouthFork_SimFire_Eagle.202203.cl532.chn_cs160,SouthFork,SimFire_Eagle,CLIGEN,0.13,0.298,0.227,0.183,0.161,0.196,0.496,0.307,0.084,0.033986428,0.196868034,0.235284757,0.313598649,0.220262132,0.114677778,0.415121967,0.470200254,0.048926949,9914,25941.06597,86.72,2.71
portland_SouthFork_SimFire_Norse.202203.cl532.chn_cs160,SouthFork,SimFire_Norse,CLIGEN,0.1,0.334,0.236,0.163,0.168,0.165,0.537,0.297,0.071,0.035340572,0.200030762,0.244910974,0.311735301,0.207982391,0.117878582,0.425685992,0.456435426,0.050295976,8321.1,28159.45115,73.92,2.31
portland_LittleSandy_CurCond.202203.cl532.chn_cs110,Little Sandy,CurCond,CLIGEN,0.018,0.136,0.126,0.255,0.464,0.07,0.262,0.668,0.03,0.030857915,0.260788974,0.213471855,0.27004107,0.224840186,0.102634543,0.457302538,0.440062919,0.043792238,843.6,0.988502485,32,1
portland_LittleSandy_CurCond.202203.cl532_future.chn_cs110,Little Sandy,CurCond,Future,0.019,0.139,0.13,0.257,0.456,0.071,0.268,0.66,0.031,0.036001113,0.230970839,0.249156256,0.299013114,0.184858678,0.118175381,0.458652489,0.423172129,0.050427091,1018.7,23.98392956,32.64,1.02
portland_LittleSandy_CurCond.202203.cl532_gridmet.chn_cs110,Little Sandy,CurCond,gridMET,0.019,0.138,0.128,0.257,0.459,0.071,0.266,0.663,0.03,0.035374142,0.22049153,0.244821815,0.303853718,0.195458794,0.117113063,0.445256729,0.437630208,0.049971326,932.4,12.18636838,32.41,1.01
portland_LittleSandy_HighSevS.202203.chn_cs110,Little Sandy,HighSevS,CLIGEN,0.079,0.424,0.304,0.113,0.08,0.154,0.676,0.17,0.066,0.032206966,0.24838403,0.222716821,0.279293589,0.217398595,0.106850281,0.453154134,0.439995585,0.045591633,23386.7,68051.16491,69.7,2.18
portland_LittleSandy_LowSevS.202203.chn_cs110,Little Sandy,LowSevS,CLIGEN,0.028,0.226,0.18,0.229,0.336,0.089,0.392,0.519,0.038,0.029502603,0.274467621,0.199551636,0.257988248,0.238489893,0.097148834,0.45874464,0.444106526,0.04145177,1439.8,941.2084093,40.68,1.27
portland_LittleSandy_ModSevS.202203.chn_cs110,Little Sandy,ModSevS,CLIGEN,0.047,0.338,0.261,0.178,0.177,0.119,0.562,0.319,0.051,0.030494433,0.255880033,0.211059055,0.272357685,0.230208793,0.101991305,0.450730827,0.447277869,0.04351645,4103.3,6971.732579,54.35,1.7
portland_LittleSandy_PrescFireS.202203.chn_cs110,Little Sandy,PrescFireS,CLIGEN,0.024,0.188,0.159,0.246,0.384,0.081,0.339,0.58,0.035,0.02904792,0.266789588,0.201096663,0.262903041,0.240162788,0.097506717,0.452796771,0.449696512,0.041602185,1214.2,466.11643,37.27,1.17
portland_LittleSandy_SimFire_Eagle.202203.cl532.chn_cs110,Little Sandy,SimFire_Eagle,CLIGEN,0.055,0.33,0.279,0.17,0.166,0.131,0.568,0.301,0.056,0.031382516,0.221929961,0.217090244,0.291658934,0.237938345,0.106062792,0.423546693,0.470390515,0.045250897,4301.6,9343.283294,59.4,1.86
portland_LittleSandy_SimFire_Norse.202203.cl532.chn_cs110,Little Sandy,SimFire_Norse,CLIGEN,0.074,0.36,0.287,0.141,0.139,0.148,0.6,0.252,0.063,0.034503776,0.216615532,0.238747782,0.303801186,0.206331724,0.114955875,0.436582856,0.448461269,0.04904907,4724.9,14453.23692,66.79,2.09
portland_FirCreek_CurCond.202203.cl532.chn_cs150,FirCreek,CurCond,CLIGEN,0.018,0.136,0.127,0.255,0.464,0.07,0.263,0.667,0.03,0.036219896,0.182585548,0.250754451,0.328422591,0.202017513,0.121642922,0.41458676,0.463770318,0.051899985,51.5,0.235102184,32.09,1
portland_FirCreek_CurCond.202203.cl532_future.chn_cs150,FirCreek,CurCond,Future,0.019,0.138,0.131,0.258,0.454,0.072,0.268,0.66,0.031,0.035548864,0.180444216,0.246107496,0.326148273,0.211751151,0.119766225,0.408542451,0.471691324,0.051098365,119.4,5.145676455,32.92,1.03
portland_FirCreek_CurCond.202203.cl532_gridmet.chn_cs150,FirCreek,CurCond,gridMET,0.019,0.137,0.129,0.257,0.459,0.071,0.265,0.664,0.03,0.036219159,0.182069828,0.250748199,0.328580731,0.202382083,0.121656522,0.414082553,0.464260925,0.051905748,88.1,1.923380626,32.48,1.02
portland_FirCreek_HighSevS.202203.chn_cs150,FirCreek,HighSevS,CLIGEN,0.331,0.169,0.2,0.173,0.127,0.39,0.345,0.265,0.167,0.030142215,0.168503288,0.208676797,0.303862213,0.288815487,0.104255378,0.364750951,0.530993671,0.044474135,49001.8,49009.85367,164.67,5.15
portland_FirCreek_LowSevS.202203.chn_cs150,FirCreek,LowSevS,CLIGEN,0.032,0.179,0.224,0.304,0.261,0.11,0.387,0.503,0.047,0.033387681,0.173327952,0.229866682,0.316870733,0.246546952,0.113259753,0.387647321,0.499092926,0.048319887,478,429.113223,49.6,1.55
portland_FirCreek_ModSevS.202203.chn_cs150,FirCreek,ModSevS,CLIGEN,0.335,0.143,0.165,0.193,0.164,0.389,0.293,0.318,0.167,0.0303758,0.167364302,0.210294064,0.305201906,0.286763928,0.104962836,0.365027316,0.530009847,0.044776164,5649.5,4378.47108,163.94,5.13
portland_FirCreek_PrescFireS.202203.chn_cs150,FirCreek,PrescFireS,CLIGEN,0.029,0.164,0.202,0.3,0.305,0.101,0.354,0.544,0.043,0.031815039,0.170739553,0.22025794,0.31101077,0.266176697,0.109079531,0.376868188,0.514052281,0.046534319,302.7,240.3171311,45.91,1.44
portland_FirCreek_SimFire_Eagle.202203.cl532.chn_cs150,FirCreek,SimFire_Eagle,CLIGEN,0.294,0.198,0.242,0.166,0.1,0.362,0.407,0.232,0.155,0.034523941,0.186846315,0.239009632,0.318271102,0.22134901,0.116463813,0.408525109,0.475011078,0.049689024,18294.8,18990.26651,153.58,4.8
portland_FirCreek_SimFire_Norse.202203.cl532.chn_cs150,FirCreek,SimFire_Norse,CLIGEN,0.396,0.139,0.147,0.164,0.154,0.443,0.272,0.285,0.19,0.025987583,0.150948591,0.17989901,0.292471281,0.350693535,0.092900931,0.323305924,0.583793146,0.039623378,10984.5,8952.310569,185.11,5.79
portland_CedarCreek_CurCond.202203.cl532.chn_cs150,CedarCreek,CurCond,CLIGEN,0.019,0.139,0.132,0.256,0.455,0.072,0.269,0.659,0.031,0.036395527,0.181065647,0.251966693,0.329662661,0.200909471,0.122197103,0.414152285,0.463650612,0.052136515,12.2,0.493278017,32.97,1.03
portland_CedarCreek_CurCond.202203.cl532_future.chn_cs150,CedarCreek,CurCond,Future,0.029,0.163,0.2,0.297,0.311,0.1,0.352,0.548,0.043,0.036282441,0.181875828,0.251185986,0.328925462,0.201730283,0.121846305,0.414269819,0.463883876,0.051986775,198.9,123.669168,45.46,1.42
portland_CedarCreek_CurCond.202203.cl532_gridmet.chn_cs150,CedarCreek,CurCond,gridMET,0.025,0.153,0.173,0.283,0.366,0.089,0.319,0.591,0.038,0.036392802,0.181007906,0.251949836,0.329690302,0.200959154,0.122193557,0.414084118,0.463722324,0.05213499,86.6,38.59503752,40.66,1.27
portland_CedarCreek_HighSevS.202203.chn_cs150,CedarCreek,HighSevS,CLIGEN,0.128,0.439,0.351,0.055,0.027,0.207,0.722,0.071,0.089,0.036366789,0.182440794,0.251258754,0.324471614,0.205462049,0.121505076,0.414428999,0.464065926,0.051842448,6025.3,40408.92713,92.05,2.88
portland_CedarCreek_LowSevS.202203.chn_cs150,CedarCreek,LowSevS,CLIGEN,0.08,0.321,0.363,0.137,0.098,0.17,0.623,0.207,0.073,0.036467189,0.182922266,0.248241588,0.325047753,0.207321204,0.121025891,0.412589845,0.466384264,0.051638172,112.2,289.4397351,76.29,2.39
portland_CedarCreek_ModSevS.202203.chn_cs150,CedarCreek,ModSevS,CLIGEN,0.099,0.356,0.385,0.108,0.053,0.19,0.671,0.139,0.082,0.03544048,0.179066202,0.245348622,0.326270795,0.213873901,0.119509848,0.406578428,0.473911724,0.050988715,849,3507.936075,84.88,2.65
portland_CedarCreek_PrescFireS.202203.chn_cs150,CedarCreek,PrescFireS,CLIGEN,0.059,0.258,0.331,0.207,0.145,0.15,0.541,0.309,0.064,0.035798433,0.180141344,0.247834818,0.327383337,0.208842069,0.12050253,0.409730882,0.469766588,0.051412761,95.2,171.1869436,67.2,2.1
portland_CedarCreek_SimFire_Eagle.202203.cl532.chn_cs150,CedarCreek,SimFire_Eagle,CLIGEN,0.138,0.43,0.353,0.056,0.023,0.218,0.714,0.068,0.093,0.03545634,0.178170296,0.245455918,0.326470738,0.214446707,0.119568142,0.405787972,0.474643885,0.051013574,2283.5,16309.15545,96.35,3.01
portland_CedarCreek_SimFire_Norse.202203.cl532.chn_cs150,CedarCreek,SimFire_Norse,CLIGEN,0.135,0.438,0.359,0.048,0.019,0.216,0.727,0.057,0.092,0.03700377,0.182427119,0.256303062,0.327463142,0.196802907,0.123502567,0.418706402,0.457791031,0.052695345,2572.7,19009.89876,95.58,2.99
portland_DeerCreek_CurCond.202203.cl532.chn_cs140,DeerCreek,CurCond,CLIGEN,0.022,0.287,0.15,0.23,0.312,0.076,0.429,0.495,0.033,0.022099894,0.307000432,0.152998915,0.226079998,0.291820762,0.076764584,0.451228895,0.47200652,0.032746117,0,0.007342624,35.2,1.1
portland_DeerCreek_CurCond.202203.cl532_future.chn_cs140,DeerCreek,CurCond,Future,0.02,0.152,0.142,0.262,0.424,0.076,0.291,0.633,0.033,0.031369689,0.225322538,0.217174776,0.293267185,0.232865811,0.106227019,0.427173224,0.466599758,0.045320548,4.4,0.766841644,34.84,1.09
portland_DeerCreek_CurCond.202203.cl532_gridmet.chn_cs140,DeerCreek,CurCond,gridMET,0.019,0.15,0.131,0.255,0.445,0.072,0.28,0.648,0.031,0.025663291,0.275600777,0.177672452,0.251905108,0.269158373,0.088090784,0.441982472,0.469926744,0.037580087,0.6,0.05859985,32.85,1.03
portland_DeerCreek_HighSevS.202203.chn_cs140,DeerCreek,HighSevS,CLIGEN,0.031,0.307,0.213,0.249,0.201,0.1,0.501,0.399,0.043,0.026525837,0.268003234,0.18364029,0.258158017,0.263672623,0.090831581,0.439743857,0.469424562,0.038749847,825.6,946.4871417,45.99,1.44
portland_DeerCreek_LowSevS.202203.chn_cs140,DeerCreek,LowSevS,CLIGEN,0.028,0.285,0.182,0.248,0.258,0.091,0.454,0.455,0.039,0.028058681,0.284659513,0.181746744,0.247996342,0.25753872,0.090958882,0.453849314,0.455191805,0.038810227,8.1,8.082347245,41.82,1.31
portland_DeerCreek_ModSevS.202203.chn_cs140,DeerCreek,ModSevS,CLIGEN,0.027,0.266,0.185,0.26,0.262,0.092,0.439,0.469,0.039,0.026742995,0.266089619,0.185143823,0.259731645,0.262291918,0.091521775,0.439180186,0.469298039,0.039044418,82.7,82.12962057,42.03,1.31
portland_DeerCreek_PrescFireS.202203.chn_cs140,DeerCreek,PrescFireS,CLIGEN,0.027,0.263,0.188,0.262,0.26,0.093,0.438,0.469,0.04,0.027088611,0.263043439,0.187536766,0.262237754,0.260093431,0.092620406,0.438282674,0.46909692,0.039513309,5.4,5.367775786,42.48,1.33
portland_DeerCreek_SimFire_Eagle.202203.cl532.chn_cs140,DeerCreek,SimFire_Eagle,CLIGEN,0.034,0.225,0.234,0.29,0.217,0.112,0.44,0.448,0.048,0.03235037,0.216835282,0.223886397,0.300247698,0.226680252,0.109314922,0.42470741,0.465977668,0.046638488,188.4,195.2663836,50.75,1.59
portland_DeerCreek_SimFire_Norse.202203.cl532.chn_cs140,DeerCreek,SimFire_Norse,CLIGEN,0.027,0.266,0.185,0.26,0.262,0.092,0.439,0.469,0.039,0.026743831,0.266095165,0.185144418,0.259728821,0.262287765,0.091522457,0.439185909,0.469291635,0.039044712,82.7,82.12904917,42.03,1.31
portland_CougarCreek_CurCond.202203.cl532.chn_cs140,CougarCreek,CurCond,CLIGEN,0.019,0.138,0.128,0.254,0.461,0.071,0.266,0.664,0.03,0.050213779,0.378059974,0.337172549,0.170242232,0.064311466,0.138211168,0.661794307,0.199994525,0.059037415,0.6,0.004095526,32.28,1.01
portland_CougarCreek_CurCond.202203.cl532_future.chn_cs140,CougarCreek,CurCond,Future,0.018,0.137,0.128,0.255,0.462,0.071,0.264,0.665,0.03,0.049203528,0.24470092,0.327982203,0.234973509,0.14313984,0.14167015,0.527916124,0.330413726,0.060495599,11.3,0.085022963,32.27,1.01
portland_CougarCreek_CurCond.202203.cl532_gridmet.chn_cs140,CougarCreek,CurCond,gridMET,0.018,0.137,0.127,0.255,0.463,0.07,0.264,0.666,0.03,0.05280291,0.262562969,0.34933862,0.208360847,0.126934654,0.147141082,0.559860668,0.29299825,0.06284408,4.4,0.023413856,32.21,1.01
portland_CougarCreek_HighSevS.202203.chn_cs140,CougarCreek,HighSevS,CLIGEN,0.043,0.375,0.281,0.211,0.09,0.123,0.619,0.258,0.053,0.038828002,0.363070517,0.268809217,0.229817804,0.09947446,0.118298709,0.599062041,0.28263925,0.05050239,1350.1,1431.365018,56.12,1.75
portland_CougarCreek_LowSevS.202203.chn_cs140,CougarCreek,LowSevS,CLIGEN,0.039,0.347,0.251,0.221,0.141,0.114,0.569,0.317,0.049,0.042711603,0.382971028,0.273123258,0.215080593,0.086113518,0.121633589,0.62083366,0.257532751,0.051937756,11.1,9.521827365,52.19,1.63
portland_CougarCreek_ModSevS.202203.chn_cs140,CougarCreek,ModSevS,CLIGEN,0.039,0.348,0.268,0.231,0.114,0.118,0.583,0.299,0.051,0.03885932,0.359723497,0.269026561,0.23153913,0.100851492,0.118546298,0.596065524,0.285388178,0.050607682,97,95.07884581,53.99,1.69
portland_CougarCreek_PrescFireS.202203.chn_cs140,CougarCreek,PrescFireS,CLIGEN,0.034,0.309,0.233,0.233,0.191,0.106,0.517,0.377,0.045,0.039199713,0.371528905,0.271376341,0.224768401,0.09312664,0.118712192,0.609020752,0.272267055,0.05068082,9.2,6.769987047,48.45,1.51
portland_CougarCreek_SimFire_Eagle.202203.cl532.chn_cs140,CougarCreek,SimFire_Eagle,CLIGEN,0.042,0.416,0.276,0.19,0.076,0.119,0.654,0.227,0.051,0.038927828,0.415504561,0.26945123,0.201943899,0.074172482,0.115774484,0.649103747,0.235121769,0.049432293,317.8,343.6397366,54.72,1.71
portland_CougarCreek_SimFire_Norse.202203.cl532.chn_cs140,CougarCreek,SimFire_Norse,CLIGEN,0.039,0.364,0.268,0.224,0.105,0.118,0.599,0.284,0.05,0.038885964,0.373592595,0.269168259,0.224170274,0.094182909,0.117873324,0.609280059,0.272846617,0.050322373,117.2,115.3594172,53.81,1.68
portland_BearCreek_CurCond.202203.cl532.chn_cs140,BearCreek,CurCond,CLIGEN,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0.022099917,0.306998746,0.153000282,0.226079141,0.291821914,0.076764811,0.451228199,0.47200699,0.032746214,7.5,0.000285336,31.98,1
portland_BearCreek_CurCond.202203.cl532_future.chn_cs140,BearCreek,CurCond,Future,0.019,0.141,0.129,0.255,0.456,0.071,0.27,0.659,0.031,0.036350894,0.330950988,0.251660024,0.250153173,0.130884922,0.114216323,0.555526676,0.330257001,0.048750369,79.4,2.126011924,32.53,1.02
portland_BearCreek_CurCond.202203.cl532_gridmet.chn_cs140,BearCreek,CurCond,gridMET,0.018,0.136,0.126,0.255,0.465,0.07,0.262,0.668,0.03,0,0,0,0,0,0,0,0,0,12.2,0,31.98,1
portland_BearCreek_HighSevS.202203.chn_cs140,BearCreek,HighSevS,CLIGEN,0.349,0.168,0.173,0.197,0.114,0.405,0.324,0.271,0.173,0.036916906,0.234694711,0.255578753,0.300367419,0.172442211,0.120580397,0.467584559,0.411835044,0.051454872,2004.8,1369.790474,170.29,5.32
